session_index,image_index,overall_rating,alignment_rating,fidelity_rating,unmentioned_content,repeated_generation,existence_of_body,blurry,psychological_discomfort,sexual_content,violent_content,defamatory_content,disappointed,satisfied,surprised,disgusted,amused,scared,rank_score,CLIP_score,Aesthetic_score,BLIP_score,ImageReward_score,PickScore,HPS_V2_score
1,1,4,3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,0.25570112466812134,0.02637137845158577,-0.04188456013798714,-0.3825768828392029,18.828414916992188,0.2605
1,2,5,5,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,3,0.2667078375816345,0.03260480612516403,0.0007218457758426666,-0.48678621649742126,18.825963973999023,0.2615
1,3,4,6,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,5,0.2906331419944763,0.03643286973237991,-0.018779046833515167,1.457122802734375,19.555850982666016,0.2678
1,4,2,3,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.23842501640319824,0.020712822675704956,-0.014592986553907394,-0.9650783538818359,19.071645736694336,0.2598
1,5,4,5,2,False,False,True,True,True,False,False,False,False,False,False,False,False,False,4,0.2660440504550934,0.02692451700568199,0.010344110429286957,1.001837134361267,19.38163948059082,0.2583
2,1,6,6,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,4,0.32609084248542786,0.03314456343650818,-0.027517618611454964,1.377091646194458,22.334367752075195,0.2766
2,2,4,4,4,True,True,True,False,False,False,False,False,True,False,False,False,False,False,1,0.2921738624572754,0.04088457673788071,-0.03142651170492172,0.49186402559280396,21.584016799926758,0.2695
2,3,4,4,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0.3143569231033325,0.026375506073236465,-0.0795617625117302,1.2720229625701904,23.609033584594727,0.2803
2,4,5,5,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,0.3294389247894287,0.030797846615314484,0.018459506332874298,1.2544857263565063,22.473552703857422,0.2761
2,5,7,7,7,False,False,False,False,False,False,False,False,False,True,False,False,True,False,5,0.324149489402771,0.026300739496946335,-0.007462006062269211,1.5611467361450195,22.879255294799805,0.278
3,1,5,6,4,True,False,True,False,True,False,False,False,True,False,False,False,False,False,4,0.28946906328201294,0.026687413454055786,0.009453095495700836,-0.14730505645275116,19.192625045776367,0.2603
3,2,2,6,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1,0.266047865152359,0.02027774229645729,-0.011004208587110043,0.4986732304096222,19.981523513793945,0.269
3,3,2,6,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,3,0.2780888080596924,0.031056512147188187,0.01120849885046482,0.25420770049095154,19.85456085205078,0.267
3,4,4,6,3,False,False,True,False,True,False,False,False,True,False,False,False,False,False,5,0.28193730115890503,0.03030550107359886,0.04331500455737114,-0.8722072839736938,19.327098846435547,0.269
3,5,5,7,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,0.2815238833427429,0.024116292595863342,0.02839365229010582,0.028105691075325012,19.661476135253906,0.2651
4,1,5,5,5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,3,0.2686442732810974,0.029149331152439117,-0.04181008040904999,-0.30577075481414795,19.97843360900879,0.2693
4,2,6,5,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,4,0.29555103182792664,0.03302447870373726,-0.11038313806056976,0.290100634098053,21.02042579650879,0.28
4,3,6,5,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,0.2905389070510864,0.026970505714416504,-0.06729292869567871,-1.1847351789474487,19.910717010498047,0.2622
4,4,6,6,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0.2981991171836853,0.028547167778015137,-0.07781200855970383,0.3377321660518646,21.404659271240234,0.2761
4,5,5,4,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,0.3049321174621582,0.020137041807174683,-0.07759463787078857,-0.8309879899024963,20.831954956054688,0.2756
5,1,5,5,5,False,False,True,False,False,False,False,False,True,False,False,False,True,False,5,0.2622975707054138,0.03911870718002319,-0.0008556507527828217,-0.03921337425708771,21.573740005493164,0.2795
5,2,5,5,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0.2922082245349884,0.027461636811494827,0.04073357582092285,0.7700406908988953,21.044111251831055,0.2742
5,3,5,5,5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,3,0.2721034586429596,0.027183808386325836,0.002422645688056946,1.1315420866012573,23.011381149291992,0.287
5,4,6,6,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,0.2815738916397095,0.023350808769464493,-0.03502121567726135,1.2039361000061035,22.08732032775879,0.2803
5,5,5,5,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,0.2706044018268585,0.020217061042785645,-0.05456860736012459,1.1987789869308472,22.016273498535156,0.2773
6,1,5,4,4,True,True,True,False,False,False,False,False,True,False,False,False,False,False,2,0.28825923800468445,0.02259279042482376,0.006062034517526627,0.25309979915618896,19.888036727905273,0.2634
6,2,5,4,5,True,False,True,False,False,False,False,False,True,False,False,False,False,False,5,0.298872172832489,0.03545128554105759,0.023985780775547028,-0.10058725625276566,21.12005043029785,0.2659
